code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
C25_R,CA125 sur Cobas e402 (Pure),CA125 sur Cobas e402 (Pure),Hormonologie,Sang,,,,Non,,,,CLIA de type sandwich avec réactifs ROCHE sur Cobas e402 (Pure),,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087214/ca125-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
CTXS_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Hormonologie,Sang > Plasma EDTA,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Isys.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_393709/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
C19,Ca19.9 sur Cobas e402 (Pure),Ca19.9 sur Cobas e402 (Pure),Hormonologie,Sang,,,,Non,,,,CLIA de type sandwich avec réactifs ROCHE sur Cobas e402 (Pure),,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087226/ca19-9-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
CAMC,Complexe d'attaque membranaire (SC5b9),Complexe d'attaque membranaire (SC5b9),Chimie,Sang,,,,Non,,,,ELISA : manuel ou sur automate Etimax,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1917300/complexe-d-attaque-membranaire-sc5b9 | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité,
TCQ,Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Chimie,Sang,,,,Non,,,,ELISA : manuel ou sur automate Etimax,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351896/complexes-immuns-circulants-a-igg-c1q-test-au-c1q | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité,
CRIX,Cristaux Liquide ponction,Cristaux Liquide ponction,Chimie,Liquides biologiques,,,,Non,,,,Microscope à polarisation,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_20346626/cristaux-liquide-ponction | discipline: Biologie Clinique > Chimie Clinique > Lithiases-Cristallurie,
ANO,"Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)","Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)",Chimie,Sang,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351943/catecholamines-plasmatiques-noradrenaline-adrenaline-dopamine | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
UAN,Catécholamines urinaires,Catécholamines urinaires,Chimie,Urines > 24H acides,,,,Non,,,,LC MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351641/catecholamines-urinaires | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
CORHMS,Cortisol,Cortisol,Chimie,Sang,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_28297464/cortisol | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
CORS,Cortisol (Salive),Cortisol (Salive),Chimie,Autres Types d'échantillons > Salive,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_4621082/cortisol-salive | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
